name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,MRTS and Metro Projects,Transport Planning and Capacity Building in Urban Transport,,61.01,0.00717764705882353
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,General Pool Accommodation,Non-residential,Non-Residential,2132.62,0.2508964705882353
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,General Pool Accommodation,Residential,Residential,667.33,0.07850941176470588
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Projects in North Eastern Region,Prime Minister's Street Vendors' Atmanirbhar Nidhi (PM SVANIDHI),,468.0,0.055058823529411764
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Projects in North Eastern Region,Public Health Engineering (PHE) Sector Development Scheme,,2.0,0.00023529411764705883
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,Central Public Works Department,,,3288.25,0.38685294117647057
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,NCR Planning Board,,,65.1,0.007658823529411765
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,Town & Country Planning Organization,,,15.24,0.0017929411764705883
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,Grants-in-Aid for training of Municipal Employees,,,13.5,0.001588235294117647
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,Rajghat Samadhi Committee including Departmental Canteens,,,9.02,0.001061176470588235
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,National Institute of Urban Affairs,,,8.0,0.0009411764705882353
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,Building Material and Technology Promotion Council (BMTPC),,,7.5,0.0008823529411764706
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,Delhi Urban Art Commission,,,6.44,0.0007576470588235296
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,National Building Organisation,,,4.32,0.000508235294117647
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,Real Estate Regulatory Authority,,,4.0,0.00047058823529411766
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Printing Presses,,103.95,0.012229411764705881
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Controller of Stationery,,63.55,0.0074764705882352945
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Controller of Publication,,19.57,0.0023023529411764702
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Other Organizations,,0.43,5.058823529411765e-05
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,Hemisphere Properties India Limited(HPIL),,60.0,0.007058823529411765
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Secretariat,Secretariat,,,141.9,0.016694117647058825
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Secretariat,Directorate of Estates,,,49.16,0.005783529411764706
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Secretariat,Establishment of Land and Development Office,,,21.97,0.0025847058823529412
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Secretariat,International Contibutions,,,1.6,0.00018823529411764704
